RR_Location,RR_Latitude,RR_Longitude,Station_ID,Station_Name,Station_Address,Station_City,Station_State,Station_Zip,Station_Latitude,Station_Longitude,Distance,Unleaded_Regular_Price,Unleaded_Plus_Price,Unleaded_Premium_Price,Diesel_Regular_Price,Brand,Phone,Excellent_Price,Current_Price,Transaction_Time,Transaction_Time_Ms,API_Updated,API_Updated_Time
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,FREEDOM OIL #74|101 S BUSINESS 51|ASSUMPTION,FREEDOM OIL #74,101 S BUSINESS 51,ASSUMPTION,IL,62510-1121,39.518,-89.04307,35.98,2.649,,,,UNKNOWN,2172263321,True,True,2026-02-08T14:39:54.944000,1770561594944,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,SAMS CLUB|4334 N PROSPECT DR|DECATUR,SAMS CLUB,4334 N PROSPECT DR,DECATUR,IL,62526-6112,39.90126,-88.954,33.78,2.699,,,3.439,UNKNOWN,2178769202,True,True,2026-02-08T19:20:26.666000,1770578426666,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #2814|317 S BUSINESS 51|ASSUMPTION,CASEYS #2814,317 S BUSINESS 51,ASSUMPTION,IL,62510-1335,39.51485,-89.04314,36.11,2.699,,,3.699,CASEY'S GENERAL STORE,2172263655,False,False,2026-02-07T14:25:50.768000,1770474350768,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,102 SCOTTY'S|10 E CHERRY ST|WINCHESTER,102 SCOTTY'S,10 E CHERRY ST,WINCHESTER,IL,62694-1002,39.62978,-90.45611,48.36,2.699,,,,UNKNOWN,2177429322,False,False,2026-02-06T23:55:27.073000,1770422127073,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,BP 1641900|5 W CHERRY ST|WINCHESTER,BP 1641900,5 W CHERRY ST,WINCHESTER,IL,62694-1072,39.62978,-90.456387,48.37,2.699,3.799,,,BP PRODUCTS NA,2177425651,False,False,2026-02-06T17:31:45.445000,1770399105445,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,FINDLAY ONE STOP|101 W DIVISION ST|FINDLAY,FINDLAY ONE STOP,101 W DIVISION ST,FINDLAY,IL,62534-9753,39.52169,-88.75455,49.01,2.699,,,3.399,UNKNOWN,2177563143,False,False,2026-02-05T12:08:11.487000,1770293291487,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,LITCHFIELD|101 E UNION AVE|LITCHFIELD,LITCHFIELD,101 E UNION AVE,LITCHFIELD,IL,62056,39.17813,-89.65538,45.23,2.709,,,,CONOCO,2173246000,False,False,2026-02-03T23:05:10.269000,1770159910269,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,HUCKS 186|701 W CLEVELAND ST|HEYWORTH,HUCKS 186,701 W CLEVELAND ST,HEYWORTH,IL,61745-9349,40.31199,-88.98588,45.91,2.709,,3.959,3.599,MARTIN & BAYLEY,3094732023,True,True,2026-02-08T17:12:51.357000,1770570771357,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,QIK N EZ #52|301 S POPLAR ST|PANA,QIK N EZ #52,301 S POPLAR ST,PANA,IL,62557-1611,39.3864,-89.08106,40.73,2.719,,,,QIK N EZ,2175622044,True,True,2026-02-08T13:14:06.131000,1770556446131,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #1939|1525 W MOUND RD|DECATUR,CASEYS #1939,1525 W MOUND RD,DECATUR,IL,62526-9559,39.890597,-88.983933,32.11,2.749,,,3.589,CASEY'S GENERAL STORE,2174720566,True,True,2026-02-08T19:01:00.435000,1770577260435,No,
