Store #,Store Name,Latitude,Longitude
278,"2202 N Main St, Brinkley AR ",34.912517,-91.193759
144,"100 Plaza Drive, Elkrun Heights IA ",42.4612404,-92.2473477
132,"4910 North Market Street, Champaign IL ",40.17769,-88.240499
206,"902 N Elida St, Winnebago IL ",42.2802763,-89.2422629
118,"3752 Camp Butler, Springfield, IL ",39.8304811,-89.5842419
287,"5210 QUEBEC DR, Bourbonnais, IL 60914 ",41.2053346,-87.8705719
210,"890 E. Highway 38, Rochelle IL ",41.9338987,-89.0349575
139,"1112 East Southline Dr, Tuscola IL ",39.7919732,-88.2683213
211,"7500 East Riverside Blvd., Loves Park IL ",42.3195639,-88.9693605
225,"2835 North Main, Princeton IL ",41.4031053,-89.4689005
140,"2705 12th Street, Mendota, IL ",41.5538796,-89.066747
235,"19N681 US Highway 20, Hampshire IL ",42.149425,-88.5115959
,"1101 North 7th Street, Rochelle IL",41.9343193,-89.06789
279,"1701 IL-148, Marion IL ",37.6197159,-88.9859542
157,"905 Hen House Road, Okawville IL ",38.4364187,-89.5347246
181,"500 Toronto Road, Springfield IL ",39.7128674,-89.648992
263,"3041 N. Illinois Route 71, Ottawa IL ",41.3789124,-88.7772025
185,"315 E. Dixie Road Suite A, McLean IL ",40.3179987,-89.1690822
265,"1801 S. Galena Avenue, Dixon IL ",41.8225492,-89.4751038
186,"1311 Carolyn Dr, Minonk IL ",40.9134707,-89.0534671
266,"700 King Rd., New Berlin IL ",39.7325419,-89.9245933
187,"3401 S California Ave, Chicago IL ",41.831278,-87.6946279
203,"4980 S. Main Street, Rockford IL ",42.2085811,-89.1076044
268,"1776 South Court Street, Grayville IL ",38.2401076,-87.9991526
205,"6070 Gardner Street, South Beloit IL ",42.4909647,-88.9992534
269,"2003 Illinois Hwy 1, Marshall IL ",39.4244757,-87.6917016
141,"990 West State Road 42, Brazil IN ",39.523652,-87.1250154
226,"1615 East Main Street, Greenwood IN ",39.6136413,-86.0711201
240,"2151 Ripley, Lake Station IN ",41.5785273,-87.2396748
145,"205 North Highway Dr., Fenton MO ",38.543606,-90.4399195
242,"22345 Hwy 28, St Roberts MO ",37.8362414,-92.0993155
290,"2101 S Prigmor Ave, Joplin, MO 64804 ",37.0674002,-94.4032877
270,"9977 North Interstate 35, Moore TX ",29.0290735,-99.0507167
289,"779 TX-179, Teague, TX 75860 ",31.5964732,-96.1467748
271,"10490 W. Interstate Highway 20, Odessa TX ",31.7638389,-102.3653369
272,"45 E. Texas State Highway 44, Encinal TX ",28.0469596,-99.3485642
286,"11215 E Interstate 40 Hwy, Amarillo, TX 79118 ",35.1934938,-101.7077997
273,"18337 Templeton Avenue, Combes TX ",26.248973,-97.7290958
319,"900 W Water St., Milford, TX 76670 ",32.1336355,-96.952332
275,"601 Highway 277 N., Sonora TX ",30.580391,-100.646245
312,"17160 IH-10 Vidor, TX 77662 ",30.131185,-93.959974
276,"6615 N. Interstate Highway 35, Waco TX ",31.6506875,-97.0989245
323,"13951 FM 859, Canton, TX ",32.5820887,-95.8741616
277,"907 N. McCoy Blvd., New Boston TX ",33.4772576,-94.4104669
315,"20002 Mines Rd FM 1472, Laredo, TX 78045 ",27.6536303,-99.5632614
280,"2300 TX-464 Loop Rd. Monahans, TX ",31.5694524,-102.9074723
281,"202 Interstate 20 Frontage Rd. Cisco, TX 76437 ",32.3732195,-98.9691457
283,"1848 Beckendorff Rd. Sealy, TX ",29.7512182,-96.2665791
284,"70 S Aspen Ave, New Deal, TX 79403 ",33.7366181,-101.8434558
,"10602 S. Cage Blvd, Pharr TX ",26.0935686,-98.2016485
282,"3703 I-35, Gainesville, TX 76240 ",33.6698776,-97.1523269
285,"2460 FM 464 Seguin, Texas 78155 ",29.5713702,-98.0119416
209,"102 E. Woody, Tomah WI ",43.9636232,-90.3757182
136,"2762 County Hwy North, Cottage Grove WI ",42.9985528,-89.1996224
236,"1946 Energy Dr, East Troy WI ",42.7906328,-88.3891736
